rank,num_parameters,best_epoch,best_val_ssim,best_val_psnr,best_val_mae,best_val_loss,config_id,experiment_name,seed,model_name,channels,normalization,activation,group_count,upsampling,lr,weight_decay,loss_name,l1_weight,ssim_weight,epochs,validation_rate,batch_size,num_workers,mixed_precision,deterministic,monitor,mode_monitor,min_delta,patience,tie_breaker,mode_tie_breaker
26,7849667,97,0.853742778301239,21.88169288635254,0.07195980101823807,0.08681926660347676,098890563d41,unet_grid_seed_0_screening_part_12,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,bilinear,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
27,7763107,90,0.8529717326164246,21.325109481811523,0.08031015843153,0.09365378762932791,8ef7076c4c20,unet_grid_seed_0_screening_part_21,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
28,1927075,103,0.852289080619812,20.994407653808594,0.08103892207145691,0.09437332529088725,0b2afb98b549,unet_grid_seed_0_screening_part_14,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,transposed,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
29,7763107,66,0.8510754704475403,21.15348243713379,0.08124542981386185,0.09478123680404994,0745f37a0f51,unet_grid_seed_0_screening_part_21,0,unet,"[32, 64, 128, 256, 512]",group,leaky_relu,8,transposed,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
30,1948355,110,0.8509837985038757,21.41410255432129,0.07607083767652512,0.0906599188844363,1c2eddb47351,unet_grid_seed_0_screening_part_11,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,bilinear,0.0005,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
31,488035,98,0.8507302403450012,21.370878219604492,0.07836990058422089,0.09254986609237781,e36b03e931aa,unet_grid_seed_0_screening_part_16,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,bilinear,0.0003,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
32,482771,97,0.8502428531646729,21.17461585998535,0.0799315944314003,0.09389669858459113,4a80952193e5,unet_grid_seed_0_screening_part_21,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,transposed,0.001,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
33,488035,106,0.8501033186912537,21.35910415649414,0.07957649230957031,0.09364054449226546,828688c762f0,unet_grid_seed_0_screening_part_17,0,unet,"[16, 32, 64, 128]",group,leaky_relu,8,bilinear,0.0005,0.0001,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
34,7849667,87,0.8497336506843567,21.298904418945312,0.077536441385746,0.09208241202261137,6adeb0cb9468,unet_grid_seed_0_screening_part_10,0,unet,"[32, 64, 128, 256, 512]",instance,leaky_relu,8,bilinear,0.0003,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
35,1948355,102,0.8484496474266052,21.049528121948242,0.08075051009654999,0.09491046204947043,c5c36505d145,unet_grid_seed_0_screening_part_12,0,unet,"[32, 64, 128, 256]",instance,leaky_relu,8,bilinear,0.001,0.0,l1_ssim,0.8,0.2,999,1,16,4,True,False,ssim,max,0.0001,15,psnr,max
